index,value
859,249
860,36
861,18
862,93
863,54
864,222
865,87
866,273
867,135
868,228
869,27
870,273
871,189
872,234
873,36
874,219
875,180
876,228
877,24
878,132
879,276
880,33
881,63
882,162
883,93
884,285
885,156
886,69
887,123
888,225
889,39
890,33
891,123
892,72
893,204
894,291
895,306
896,102
897,111
898,129
899,252
900,6
901,81
902,249
903,246
904,45
905,189
906,51
907,144
908,237
909,291
910,33
911,225
912,123
913,63
914,147
915,186
916,117
917,198
918,99
919,270
920,6
921,276
922,87
923,210
924,195
925,210
926,39
927,96
928,15
929,12
930,165
931,276
932,153
933,66
934,288
935,21
936,42
937,234
938,249
939,285
940,171
941,87
942,93
943,213
944,291
945,120
946,159
947,141
948,24
949,69
950,114
951,156
952,267
953,36
954,204
955,138
956,39
957,213
958,156
959,105
960,282
961,48
962,39
963,228
964,198
965,240
966,270
967,189
968,282
969,186
970,222
971,195
972,33
973,288
974,93
975,39
976,93
977,270
978,210
979,267
980,171
981,225
982,234
983,42
984,210
985,78
986,117
987,141
988,222
989,294
990,246
991,147
992,99
993,96
994,186
995,168
996,288
997,51
998,105
999,267
